"Plugin","Plugin Name","IP Address","MAC Address","Repository","DNS Name","NetBIOS Name"
"21745","Authentication Failure - Local Checks Not Run","10.202.52.102","","il.champaign-0082.cerl.erdc - v4","",""
"104410","Target Credential Status by Authentication Protocol - Failure for Provided Credentials","10.202.52.102","","il.champaign-0082.cerl.erdc - v4","",""
"21745","Authentication Failure - Local Checks Not Run","10.202.52.103","","il.champaign-0082.cerl.erdc - v4","",""
"104410","Target Credential Status by Authentication Protocol - Failure for Provided Credentials","10.202.52.103","","il.champaign-0082.cerl.erdc - v4","",""
"21745","Authentication Failure - Local Checks Not Run","10.202.52.104","","il.champaign-0082.cerl.erdc - v4","",""
"104410","Target Credential Status by Authentication Protocol - Failure for Provided Credentials","10.202.52.104","","il.champaign-0082.cerl.erdc - v4","",""
"21745","Authentication Failure - Local Checks Not Run","129.229.26.83","","il.champaign-0082.cerl.erdc - v4","cerrrb-wn-t1396.erdc.dren.mil",""
"104410","Target Credential Status by Authentication Protocol - Failure for Provided Credentials","129.229.26.83","","il.champaign-0082.cerl.erdc - v4","cerrrb-wn-t1396.erdc.dren.mil",""
"110385","Target Credential Issues by Authentication Protocol - Insufficient Privilege","129.229.51.6","00:50:56:89:6b:03","il.champaign-0082.cerl.erdc - v4","","SMS\SMSDC4"
"110385","Target Credential Issues by Authentication Protocol - Insufficient Privilege","129.229.51.7","00:50:56:89:7a:43","il.champaign-0082.cerl.erdc - v4","","SMS\SMSDC5"
"110385","Target Credential Issues by Authentication Protocol - Insufficient Privilege","129.229.51.8","00:50:56:89:1f:4a","il.champaign-0082.cerl.erdc - v4","","SMS\SMSDC6"
"102094","SSH Commands Require Privilege Escalation","129.229.51.20","02:42:97:73:4a:03","il.champaign-0082.cerl.erdc - v4","","WORKGROUP\MRSIPRDWEB1"
"104410","Target Credential Status by Authentication Protocol - Failure for Provided Credentials","129.229.51.20","02:42:97:73:4a:03","il.champaign-0082.cerl.erdc - v4","","WORKGROUP\MRSIPRDWEB1"
"110385","Target Credential Issues by Authentication Protocol - Insufficient Privilege","129.229.51.20","02:42:97:73:4a:03","il.champaign-0082.cerl.erdc - v4","","WORKGROUP\MRSIPRDWEB1"
"104410","Target Credential Status by Authentication Protocol - Failure for Provided Credentials","129.229.51.151","00:0c:29:cf:c8:25","il.champaign-0082.cerl.erdc - v4","","SMS\SMSPRDAPP4"
"21745","Authentication Failure - Local Checks Not Run","129.229.51.236","","il.champaign-0082.cerl.erdc - v4","",""
"104410","Target Credential Status by Authentication Protocol - Failure for Provided Credentials","129.229.51.236","","il.champaign-0082.cerl.erdc - v4","",""
"102094","SSH Commands Require Privilege Escalation","129.229.51.238","00:0c:29:1f:cb:de","il.champaign-0082.cerl.erdc - v4","",""
"110385","Target Credential Issues by Authentication Protocol - Insufficient Privilege","129.229.51.238","00:0c:29:1f:cb:de","il.champaign-0082.cerl.erdc - v4","",""
"102094","SSH Commands Require Privilege Escalation","129.229.112.70","82:9c:35:a1:98:01","il.champaign-0082.cerl.erdc - v4","",""
"110385","Target Credential Issues by Authentication Protocol - Insufficient Privilege","129.229.112.70","82:9c:35:a1:98:01","il.champaign-0082.cerl.erdc - v4","",""
"102094","SSH Commands Require Privilege Escalation","129.229.112.76","a4:5e:60:f3:e3:35","il.champaign-0082.cerl.erdc - v4","","UNKNOWN\CERSDC-MN-3864F"
"110385","Target Credential Issues by Authentication Protocol - Insufficient Privilege","129.229.112.76","a4:5e:60:f3:e3:35","il.champaign-0082.cerl.erdc - v4","","UNKNOWN\CERSDC-MN-3864F"
"21745","Authentication Failure - Local Checks Not Run","129.229.255.113","","il.champaign-0082.cerl.erdc - v4","",""
"104410","Target Credential Status by Authentication Protocol - Failure for Provided Credentials","129.229.255.113","","il.champaign-0082.cerl.erdc - v4","",""
"102094","SSH Commands Require Privilege Escalation","10.200.23.85","00:50:56:9c:e9:54","ms.vicksburg-0012.erdc.usace - v4","rdedrivepub.erdc.dren.mil",""
"110385","Target Credential Issues by Authentication Protocol - Insufficient Privilege","10.200.23.85","00:50:56:9c:e9:54","ms.vicksburg-0012.erdc.usace - v4","rdedrivepub.erdc.dren.mil",""
"110385","Target Credential Issues by Authentication Protocol - Insufficient Privilege","10.200.23.93","00:50:56:99:a3:48","ms.vicksburg-0012.erdc.usace - v4","","ERDC-PUB\AGC-AIP"
"104410","Target Credential Status by Authentication Protocol - Failure for Provided Credentials","10.200.24.124","00:50:56:96:9e:22","ms.vicksburg-0012.erdc.usace - v4","","ERDC-DMZ\CHL-DATAC-PI01"
"110385","Target Credential Issues by Authentication Protocol - Insufficient Privilege","10.200.25.1","00:50:56:9c:0a:66","ms.vicksburg-0012.erdc.usace - v4","","ERDC-DMZ\MS-DC1EXT"
"110385","Target Credential Issues by Authentication Protocol - Insufficient Privilege","10.200.25.2","00:50:56:9c:98:23","ms.vicksburg-0012.erdc.usace - v4","","ERDC-DMZ\MS-DC2EXT"
"102094","SSH Commands Require Privilege Escalation","10.200.26.16","00:50:56:96:42:36","ms.vicksburg-0012.erdc.usace - v4","listbuilder-db.erdc.dren.mil",""
