IP,site,vuln
10.202.52.100,IL,104410
10.202.52.101,IL,104410
10.202.52.102,IL,104410
10.202.52.103,IL,104410
10.202.52.104,IL,104410
129.229.255.113,IL,104410
129.229.255.95,IL,104410
129.229.26.83,IL,104410
129.229.51.151,IL,104410
129.229.51.20,IL,104410
129.229.112.10,IL,110385
129.229.112.18,IL,110385
129.229.112.19,IL,110385
129.229.112.27,IL,110385
129.229.112.28,IL,110385
129.229.112.90,IL,110385
129.229.112.91,IL,110385
129.229.112.14,IL,10919
129.229.112.21,IL,10919
129.229.112.7,IL,10919
129.229.112.92,IL,10919
129.229.112.95,IL,10919
129.229.112.99,IL,10919
129.229.51.240,IL,10919
129.229.51.4,IL,10919
129.229.51.6,IL,10919
129.229.51.7,IL,10919
10.202.10.149,IL,no data
10.202.53.254,IL,no data
129.229.11.52,IL,no data
129.229.112.13,IL,no data
129.229.112.22,IL,no data
129.229.112.29,IL,no data
129.229.112.83,IL,no data
129.229.112.89,IL,no data
129.229.12.254,IL,no data
129.229.2.47,IL,no data
129.229.20.2,IL,no data
129.229.222.252,IL,no data
129.229.255.254,IL,no data
129.229.99.254,IL,no data
10.203.51.254,VA,117885
10.35.2.25,VA,117885
192.86.66.254,VA,117885
199.123.87.133,VA,117885
199.123.87.137,VA,117885
199.123.87.139,VA,117885
199.123.87.152,VA,117885
199.123.87.154,VA,117885
199.123.87.156,VA,117885
199.123.87.158,VA,117885
199.123.87.161,VA,117885
199.123.87.165,VA,117885
199.123.87.166,VA,117885
199.123.87.168,VA,117885
199.123.87.169,VA,117885
199.123.87.88,VA,117885
199.123.88.254,VA,117885
199.123.89.129,VA,117885
199.123.90.254,VA,117885
206.37.252.225,VA,117885
206.37.252.3,VA,117885
206.37.252.97,VA,117885
206.37.28.3,VA,117885
206.37.30.131,VA,117885
206.37.30.99,VA,117885
10.203.10.149,VA,21745
10.203.52.102,VA,21745
10.203.52.103,VA,21745
10.203.52.104,VA,21745
10.203.52.254,VA,21745
199.123.87.130,VA,21745
199.123.87.131,VA,21745
199.123.87.132,VA,21745
199.123.87.134,VA,21745
199.123.87.140,VA,21745
199.123.87.141,VA,21745
199.123.87.142,VA,21745
199.123.87.143,VA,21745
199.123.87.145,VA,21745
199.123.87.148,VA,21745
199.123.87.149,VA,21745
199.123.87.170,VA,21745
199.123.89.130,VA,21745
199.123.89.183,VA,21745
199.123.89.190,VA,21745
199.123.89.200,VA,21745
199.123.89.35,VA,21745
199.123.89.8,VA,21745
199.123.89.81,VA,21745
199.123.89.90,VA,21745
192.86.66.5,VA,10919
199.123.87.135,VA,10919
199.123.87.136,VA,10919
199.123.89.120,VA,10919
199.123.89.124,VA,10919
199.123.89.126,VA,10919
199.123.89.131,VA,10919
199.123.89.137,VA,10919
199.123.89.14,VA,10919
199.123.89.150,VA,10919
199.123.89.152,VA,10919
206.37.31.3,VA,10919
10.203.10.101,VA,117887
199.123.87.159,VA,117887
199.123.89.105,VA,117887
199.123.89.106,VA,117887
199.123.89.53,VA,117887
199.123.89.69,VA,117887
199.123.89.91,VA,117887
10.203.10.149,VA,19506
10.203.52.102,VA,19506
10.203.52.103,VA,19506
10.203.52.104,VA,19506
10.203.52.254,VA,19506
199.123.87.130,VA,19506
199.123.87.131,VA,19506
199.123.87.132,VA,19506
199.123.87.134,VA,19506
199.123.87.140,VA,19506
199.123.87.141,VA,19506
199.123.87.142,VA,19506
199.123.87.143,VA,19506
199.123.87.145,VA,19506
199.123.87.148,VA,19506
199.123.87.149,VA,19506
199.123.87.170,VA,19506
199.123.89.130,VA,19506
199.123.89.183,VA,19506
199.123.89.190,VA,19506
199.123.89.200,VA,19506
199.123.89.35,VA,19506
199.123.89.8,VA,19506
199.123.89.81,VA,19506
199.123.89.90,VA,19506
199.123.89.190,VA,26917
199.123.89.35,VA,26917
199.123.89.90,VA,26917
