IP,site,dns,vuln
199.123.89.200,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
199.123.89.183,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
199.123.89.90,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
199.123.89.81,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
199.123.89.66,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
199.123.89.35,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
199.123.89.11,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
199.123.89.8,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
199.123.89.6,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
199.123.87.206,va.ft_belvoir-0008.erdc-grl.erdc - v4,199-123-87-206.tec.army.mil,
199.123.87.205,va.ft_belvoir-0008.erdc-grl.erdc - v4,199-123-87-205.tec.army.mil,
199.123.87.203,va.ft_belvoir-0008.erdc-grl.erdc - v4,199-123-87-203.tec.army.mil,
199.123.87.196,va.ft_belvoir-0008.erdc-grl.erdc - v4,199-123-87-196.tec.army.mil,
199.123.87.195,va.ft_belvoir-0008.erdc-grl.erdc - v4,199-123-87-195.tec.army.mil,
199.123.87.193,va.ft_belvoir-0008.erdc-grl.erdc - v4,199-123-87-193.tec.army.mil,
199.123.87.189,va.ft_belvoir-0008.erdc-grl.erdc - v4,199-123-87-189.tec.army.mil,
199.123.87.185,va.ft_belvoir-0008.erdc-grl.erdc - v4,199-123-87-185.tec.army.mil,
199.123.87.184,va.ft_belvoir-0008.erdc-grl.erdc - v4,199-123-87-184.tec.army.mil,
199.123.87.182,va.ft_belvoir-0008.erdc-grl.erdc - v4,199-123-87-182.tec.army.mil,
199.123.87.168,va.ft_belvoir-0008.erdc-grl.erdc - v4,199-123-87-168.tec.army.mil,
199.123.87.165,va.ft_belvoir-0008.erdc-grl.erdc - v4,199-123-87-165.tec.army.mil,
199.123.87.164,va.ft_belvoir-0008.erdc-grl.erdc - v4,199-123-87-164.tec.army.mil,
199.123.87.163,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
199.123.87.162,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
199.123.87.112,va.ft_belvoir-0008.erdc-grl.erdc - v4,199-123-87-31.tec.army.mil,
192.12.124.1,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
144.3.255.18,nh.hanover-0059.crrel.erdc - v4,nh-jdshan.erdc.dren.mil,
144.3.222.67,nh.hanover-0059.crrel.erdc - v4,usace-po-222-67.bulkhost.army.mil,
144.3.222.24,nh.hanover-0059.crrel.erdc - v4,usace-po-222-24.bulkhost.army.mil,
144.3.153.18,nh.hanover-0059.crrel.erdc - v4,crljpm-wn-r6507.erdc.dren.mil,
144.3.153.9,nh.hanover-0059.crrel.erdc - v4,crldkw-wn-r6708.erdc.dren.mil,
144.3.153.3,nh.hanover-0059.crrel.erdc - v4,crlmfb-wn-r1322.erdc.dren.mil,
144.3.152.10,nh.hanover-0059.crrel.erdc - v4,nh-nb637a73.erdc.dren.mil,
144.3.151.23,nh.hanover-0059.crrel.erdc - v4,crlmcq-wd-r0903.erdc.dren.mil,
144.3.151.1,nh.hanover-0059.crrel.erdc - v4,nh-nb54478b.erdc.dren.mil,
144.3.113.50,nh.hanover-0059.crrel.erdc - v4,ak-nas.erdc.dren.mil,
144.3.112.247,nh.hanover-0059.crrel.erdc - v4,usace-po-112-247.bulkhost.army.mil,
144.3.112.241,nh.hanover-0059.crrel.erdc - v4,usace-po-112-241.bulkhost.army.mil,
144.3.112.235,nh.hanover-0059.crrel.erdc - v4,usace-po-112-235.bulkhost.army.mil,
144.3.112.233,nh.hanover-0059.crrel.erdc - v4,usace-po-112-233.bulkhost.army.mil,
