IP,site,vuln
10.202.10.149,IL-VA-NH,
10.202.52.100,IL-VA-NH,
10.202.52.101,IL-VA-NH,
10.202.52.102,IL-VA-NH,
10.202.52.103,IL-VA-NH,
10.202.52.104,IL-VA-NH,
10.202.53.254,IL-VA-NH,
10.203.10.101,IL-VA-NH,
10.203.10.149,IL-VA-NH,
10.203.51.254,IL-VA-NH,
10.203.52.102,IL-VA-NH,
10.203.52.103,IL-VA-NH,
10.203.52.104,IL-VA-NH,
10.203.52.254,IL-VA-NH,
10.35.2.25,IL-VA-NH,
129.229.11.52,IL-VA-NH,
129.229.112.10,IL-VA-NH,
129.229.112.13,IL-VA-NH,
129.229.112.14,IL-VA-NH,
129.229.112.18,IL-VA-NH,
129.229.112.19,IL-VA-NH,
129.229.112.21,IL-VA-NH,
129.229.112.22,IL-VA-NH,
129.229.112.27,IL-VA-NH,
129.229.112.28,IL-VA-NH,
129.229.112.29,IL-VA-NH,
129.229.112.7,IL-VA-NH,
129.229.112.83,IL-VA-NH,
129.229.112.89,IL-VA-NH,
129.229.112.90,IL-VA-NH,
129.229.112.91,IL-VA-NH,
129.229.112.92,IL-VA-NH,
129.229.112.95,IL-VA-NH,
129.229.112.99,IL-VA-NH,
129.229.12.254,IL-VA-NH,
129.229.2.47,IL-VA-NH,
129.229.20.2,IL-VA-NH,
129.229.222.252,IL-VA-NH,
129.229.255.113,IL-VA-NH,
129.229.255.254,IL-VA-NH,
129.229.255.95,IL-VA-NH,
129.229.26.83,IL-VA-NH,
129.229.51.151,IL-VA-NH,
129.229.51.20,IL-VA-NH,
129.229.51.240,IL-VA-NH,
129.229.51.4,IL-VA-NH,
129.229.51.6,IL-VA-NH,
129.229.51.7,IL-VA-NH,
129.229.99.254,IL-VA-NH,
192.86.66.254,IL-VA-NH,
192.86.66.5,IL-VA-NH,
199.123.87.130,IL-VA-NH,
199.123.87.131,IL-VA-NH,
199.123.87.132,IL-VA-NH,
199.123.87.133,IL-VA-NH,
199.123.87.134,IL-VA-NH,
199.123.87.135,IL-VA-NH,
199.123.87.136,IL-VA-NH,
199.123.87.137,IL-VA-NH,
199.123.87.139,IL-VA-NH,
199.123.87.140,IL-VA-NH,
199.123.87.141,IL-VA-NH,
199.123.87.142,IL-VA-NH,
199.123.87.143,IL-VA-NH,
199.123.87.145,IL-VA-NH,
199.123.87.148,IL-VA-NH,
199.123.87.149,IL-VA-NH,
199.123.87.152,IL-VA-NH,
199.123.87.154,IL-VA-NH,
199.123.87.156,IL-VA-NH,
199.123.87.158,IL-VA-NH,
199.123.87.159,IL-VA-NH,
199.123.87.161,IL-VA-NH,
199.123.87.165,IL-VA-NH,
199.123.87.166,IL-VA-NH,
199.123.87.168,IL-VA-NH,
199.123.87.169,IL-VA-NH,
199.123.87.170,IL-VA-NH,
199.123.87.88,IL-VA-NH,
199.123.88.254,IL-VA-NH,
199.123.89.105,IL-VA-NH,
199.123.89.106,IL-VA-NH,
199.123.89.120,IL-VA-NH,
199.123.89.124,IL-VA-NH,
199.123.89.126,IL-VA-NH,
199.123.89.129,IL-VA-NH,
199.123.89.130,IL-VA-NH,
199.123.89.131,IL-VA-NH,
199.123.89.137,IL-VA-NH,
199.123.89.14,IL-VA-NH,
199.123.89.150,IL-VA-NH,
199.123.89.152,IL-VA-NH,
199.123.89.183,IL-VA-NH,
199.123.89.190,IL-VA-NH,
199.123.89.200,IL-VA-NH,
199.123.89.35,IL-VA-NH,
199.123.89.53,IL-VA-NH,
199.123.89.69,IL-VA-NH,
199.123.89.8,IL-VA-NH,
199.123.89.81,IL-VA-NH,
199.123.89.90,IL-VA-NH,
199.123.89.91,IL-VA-NH,
199.123.90.254,IL-VA-NH,
206.37.252.225,IL-VA-NH,
206.37.252.3,IL-VA-NH,
206.37.252.97,IL-VA-NH,
206.37.28.3,IL-VA-NH,
206.37.30.131,IL-VA-NH,
206.37.30.99,IL-VA-NH,
206.37.31.3,IL-VA-NH,
10.200.10.100,MS,
10.200.10.149,MS,
10.200.12.20,MS,
10.200.123.10,MS,
10.200.123.11,MS,
10.200.123.12,MS,
10.200.123.13,MS,
10.200.123.133,MS,
10.200.123.134,MS,
10.200.123.139,MS,
10.200.123.4,MS,
10.200.123.5,MS,
10.200.123.6,MS,
10.200.123.7,MS,
10.200.123.8,MS,
10.200.123.9,MS,
10.200.124.2,MS,
10.200.124.254,MS,
10.200.141.3,MS,
10.200.141.4,MS,
10.200.150.10,MS,
10.200.150.217,MS,
10.200.150.80,MS,
10.200.151.251,MS,
10.200.152.141,MS,
10.200.152.152,MS,
10.200.154.104,MS,
10.200.154.125,MS,
10.200.154.126,MS,
10.200.154.130,MS,
10.200.154.134,MS,
10.200.154.146,MS,
10.200.154.154,MS,
10.200.154.155,MS,
10.200.154.26,MS,
10.200.154.33,MS,
10.200.154.4,MS,
10.200.154.6,MS,
10.200.20.254,MS,
10.200.21.252,MS,
10.200.210.146,MS,
10.200.210.158,MS,
10.200.210.159,MS,
10.200.210.161,MS,
10.200.210.237,MS,
10.200.210.45,MS,
10.200.210.47,MS,
10.200.210.48,MS,
10.200.210.53,MS,
10.200.210.57,MS,
10.200.210.62,MS,
10.200.210.68,MS,
10.200.210.70,MS,
10.200.210.86,MS,
10.200.210.88,MS,
10.200.210.96,MS,
10.200.210.97,MS,
10.200.225.12,MS,
10.200.23.153,MS,
10.200.23.154,MS,
10.200.23.156,MS,
10.200.23.157,MS,
10.200.23.158,MS,
10.200.23.242,MS,
10.200.23.30,MS,
10.200.23.31,MS,
10.200.23.93,MS,
10.200.24.124,MS,
10.200.24.142,MS,
10.200.24.249,MS,
10.200.26.16,MS,
10.200.26.191,MS,
10.200.26.198,MS,
10.200.26.65,MS,
10.200.27.12,MS,
10.200.27.21,MS,
10.200.27.22,MS,
10.200.27.55,MS,
10.200.27.9,MS,
10.200.27.98,MS,
10.200.30.26,MS,
10.200.30.30,MS,
10.200.30.32,MS,
10.200.30.33,MS,
10.200.30.37,MS,
10.200.30.38,MS,
10.200.30.39,MS,
10.200.30.43,MS,
10.200.30.51,MS,
10.200.30.52,MS,
10.200.30.53,MS,
10.200.30.55,MS,
10.200.30.56,MS,
10.200.30.57,MS,
10.200.30.58,MS,
10.200.30.60,MS,
10.200.30.61,MS,
10.200.30.62,MS,
10.200.31.10,MS,
10.200.31.11,MS,
10.200.31.2,MS,
10.200.31.4,MS,
10.200.31.6,MS,
10.200.31.9,MS,
10.200.32.10,MS,
10.200.32.12,MS,
10.200.32.254,MS,
10.200.32.6,MS,
10.200.32.7,MS,
10.200.32.8,MS,
10.200.32.9,MS,
10.200.35.1,MS,
10.200.35.16,MS,
10.200.35.17,MS,
10.200.35.19,MS,
10.200.35.20,MS,
10.200.35.21,MS,
10.200.35.4,MS,
10.200.35.5,MS,
10.200.35.6,MS,
10.200.37.10,MS,
10.200.37.254,MS,
10.200.37.4,MS,
10.200.37.5,MS,
10.200.37.6,MS,
10.200.37.7,MS,
