3D Printer,134.164.40.35
AK Printer,144.3.113.32
Bluecoat,134.164.24.219
Bluecoat,"134.164.23.5,134.164.24.245,134.164.23.25,134.164.23.26,134.164.23.163,134.164.24.96,134.164.24.148"
Bomgar Appliance,10.200.23.95
Building Automation System,10.202.135.0/24
CERL Network Device,129.229.21.102
CERL Sensors,"129.229.2.32,129.229.2.36,129.229.2.37,129.229.2.44,129.229.2.46,129.229.2.48,129.229.2.49,129.229.2.51"
CHL PLC,134.164.208.48
Controller,134.164.56.7
CRREL Cameras,"144.3.115.100,144.3.115.106"
CRREL Data Logger,"144.3.113.110, 144.3.153.202,144.3.153.207,144.3.153.208,144.3.153.209,144.3.153.210"
CRREL IPMI,144.3.153.107
CRREL Security,"144.3.108.51,144.3.151.38Ï"
CUCM ,10.200.60.2-10.200.60.4
DCGSA POR Servers,"199.123.89.91,199.123.89.92"
Duck Processors,134.164.129.159-134.164.129.161
EX90 VTC,129.229.90.0/24
EX90 VTC,144.3.90.0/24
EX90 VTC,192.12.124.0/28
EX90 VTC ITL,134.164.90.0/24
Exchange Appliances,"10.200.23.81,10.200.23.82,10.200.23.83,134.164.23.51,134.164.23.52,134.164.254.20,134.164.254.21,134.164.254.22,134.164.254.25,134.164.254.26,134.164.254.29,134.164.254.40,134.164.254.50,134.164.254.51,134.164.254.52"
F5 Non-Management,"134.164.23.153,134.164.23.154,10.200.23.153,134.164.23.155,134.164.23.165,134.164.23.91,134.164.252.61,134.164.252.62,134.164.254.61,134.164.254.62"
Failover VPN,"129.229.11.53,144.3.2.53,129.229.107.2"
Fujitsu/IRMC,"10.200.51.30,10.200.51.31,10.200.51.40,10.200.51.41,10.200.51.42,10.200.51.43,10.200.51.44,10.200.51.45,10.200.51.46,10.200.51.47,10.200.51.48,10.200.51.49,10.200.51.50,10.200.51.51,10.200.51.52,10.200.51.53,10.200.51.54,10.200.51.56,10.200.51.57,10.200.51.58,10.200.51.59,10.200.51.60,10.200.51.61,10.200.51.62,10.200.51.63,10.200.51.64,10.200.51.65,10.200.51.66,10.200.51.68,10.200.51.69,10.200.51.70,10.200.51.86,10.200.51.87,10.200.51.88,10.200.51.89,10.200.51.95,10.200.51.96,10.200.51.97,10.200.51.98,10.200.51.127,10.200.51.140,10.200.51.141,10.200.51.142,10.200.51.144,10.200.51.145,10.200.51.146,10.200.51.154,10.200.51.155,10.200.51.156,10.200.51.157,10.200.51.158,10.200.51.159,10.200.51.160,10.200.51.161"
GIT Internal,10.200.23.45
Guest Network,134.164.50.0/24
Huntsville Printer,134.164.120.5
iDRAC,"10.200.150.190,10.200.150.191,10.200.151.10,10.200.51.108,10.200.51.250,10.200.51.252"
IP Camera,"144.3.153.34,10.200.24.251"
IPMI,"10.200.51.181,10.200.51.182,10.200.51.149,144.3.102.111,144.3.102.113,144.3.102.115,10.200.51.183"
Ironport,"134.164.255.210,134.164.23.110,10.200.23.110,134.164.255.211,134.164.23.111,10.200.23.111,10.200.51.3,10.200.51.4,10.200.23.30,10.200.23.31,134.164.23.30,134.164.23.31"
